SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2020,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2021,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2022,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2023,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2017,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2018,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2019,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2020,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2021,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2022,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2023,INE202B07IO3
ECLFINANCE,ECL Finance Limited,N3,1000,1000,1,11.85,12-FEB-2014,28-JAN-2014,,,,,,INE804I07SI2
ECLFINANCE,ECL Finance Limited,N4,1000,1000,1,,12-FEB-2014,28-JAN-2014,,,,,,INE804I07SJ0
ECLFINANCE,ECL Finance Limited,N5,1000,1000,1,12,01-JUL-2014,26-JUN-2014,,,,,,INE804I08601
ECLFINANCE,ECL Finance Limited,N6,1000,1000,1,12,01-JUL-2014,26-JUN-2014,,,,,,INE804I08619
ECLFINANCE,ECL Finance Limited,N7,1000,1000,1,0,01-JUL-2014,26-JUN-2014,,,,,,INE804I08627
ECLFINANCE,ECL Finance Limited,N8,1000,1000,1,10,13-MAR-2015,11-MAR-2015,,,,,,INE804I07ZI7
ECLFINANCE,ECL Finance Limited,N9,1000,1000,1,10.45,13-MAR-2015,11-MAR-2015,,,,,,INE804I07ZJ5
ECLFINANCE,ECL Finance Limited,NA,1000,1000,1,,13-MAR-2015,11-MAR-2015,,,,,,INE804I07ZK3
ECLFINANCE,ECL Finance Limited,NB,1000,1000,1,10.15,13-MAR-2015,11-MAR-2015,,,,,,INE804I07ZL1
ECLFINANCE,ECL Finance Limited,NC,1000,1000,1,10.6,13-MAR-2015,11-MAR-2015,,,,,,INE804I07ZM9
ECLFINANCE,ECL Finance Limited,ND,1000,1000,1,,13-MAR-2015,11-MAR-2015,,,,,,INE804I07ZN7
EHFLNCD,Edelweiss Housing Finance Limited,N1,1000,1000,1,9.5,22-JUL-2016,19-JUL-2016,,,,,,INE530L07178
EHFLNCD,Edelweiss Housing Finance Limited,N2,1000,1000,1,,22-JUL-2016,19-JUL-2016,,,,,,INE530L07186
EHFLNCD,Edelweiss Housing Finance Limited,N3,1000,1000,1,9.75,22-JUL-2016,19-JUL-2016,,,,,,INE530L07194
EHFLNCD,Edelweiss Housing Finance Limited,N4,1000,1000,1,,22-JUL-2016,19-JUL-2016,,,,,,INE530L07202
EHFLNCD,Edelweiss Housing Finance Limited,N5,1000,1000,1,9.57,22-JUL-2016,19-JUL-2016,,,,,,INE530L07210
EHFLNCD,Edelweiss Housing Finance Limited,N6,1000,1000,1,10,22-JUL-2016,19-JUL-2016,,,,,,INE530L07228
EHFLNCD,Edelweiss Housing Finance Limited,N7,1000,1000,1,,22-JUL-2016,19-JUL-2016,,,,,,INE530L07236
HUDCO,Housing & Urban Development Corporation Limited,N2,1000,1000,1,8.2,20-MAR-2012,07-MAR-2012,,,,,,INE031A07840
HUDCO,Housing & Urban Development Corporation Limited,N3,1000,1000,1,8.1,20-MAR-2012,07-MAR-2012,,,,,,INE031A07832
HUDCO,Housing & Urban Development Corporation Limited,N4,1000,1000,1,7.34,21-FEB-2013,16-FEB-2013,,,,,,INE031A07857
HUDCO,Housing & Urban Development Corporation Limited,N5,1000,1000,1,7.51,21-FEB-2013,16-FEB-2013,,,,,,INE031A07865
HUDCO,Housing & Urban Development Corporation Limited,N6,1000,1000,1,7.03,03-APR-2013,28-MAR-2013,,,,,,INE031A07873
HUDCO,Housing & Urban Development Corporation Limited,N7,1000,1000,1,7.19,03-APR-2013,28-MAR-2013,,,,,,INE031A07881
HUDCO,Housing & Urban Development Corporation Limited,N8,1000,1000,1,7.64,22-MAR-2017,08-FEB-2016,,,,,,INE031A07AO5
HUDCO,Housing & Urban Development Corporation Limited,N9,1000,1000,1,7.69,22-MAR-2017,15-MAR-2016,,,,,,INE031A07AT4
HUDCO,Housing & Urban Development Corporation Limited,NA,1000,1000,1,8.14,22-MAR-2017,25-OCT-2013,,,,,,INE031A07907
HUDCO,Housing & Urban Development Corporation Limited,NB,1000,1000,1,8.51,22-MAR-2017,25-OCT-2013,,,,,,INE031A07915
HUDCO,Housing & Urban Development Corporation Limited,NC,1000,1000,1,8.58,22-MAR-2017,13-JAN-2014,,,,,,INE031A07972
HUDCO,Housing & Urban Development Corporation Limited,ND,1000,1000,1,8.76,22-MAR-2017,25-OCT-2013,,,,,,INE031A07949
HUDCO,Housing & Urban Development Corporation Limited,NE,1000,1000,1,9.01,22-MAR-2017,13-JAN-2014,,,,,,INE031A07AB2
IBULHSGFIN,Indiabulls Housing Finance Limited,N1,1000,1000,1,8.55,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2017,INE148I07FY8
IBULHSGFIN,Indiabulls Housing Finance Limited,N1,1000,1000,1,8.55,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2018,INE148I07FY8
IBULHSGFIN,Indiabulls Housing Finance Limited,N1,1000,1000,1,8.55,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07FY8
IBULHSGFIN,Indiabulls Housing Finance Limited,N2,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2017,INE148I07FZ5
IBULHSGFIN,Indiabulls Housing Finance Limited,N2,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2018,INE148I07FZ5
IBULHSGFIN,Indiabulls Housing Finance Limited,N2,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07FZ5
IBULHSGFIN,Indiabulls Housing Finance Limited,N3,1000,1000,1,8.7,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2017,INE148I07GA6
IBULHSGFIN,Indiabulls Housing Finance Limited,N3,1000,1000,1,8.7,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2018,INE148I07GA6
IBULHSGFIN,Indiabulls Housing Finance Limited,N3,1000,1000,1,8.7,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07GA6
IBULHSGFIN,Indiabulls Housing Finance Limited,N4,1000,1000,1,,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07GD0
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2017,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2018,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2020,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2021,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2017,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2018,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2020,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2021,INE148I07GF5
IBULHSGFIN,Indiabulls Housing Finance Limited,N7,1000,1000,1,,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2021,INE148I07GH1
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-APR-2023,,,,,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-NOV-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-DEC-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JAN-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-FEB-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAR-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-APR-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAY-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUN-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUL-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-AUG-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-NOV-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-DEC-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JAN-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-FEB-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAR-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-APR-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAY-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUN-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUL-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-AUG-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-NOV-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-DEC-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JAN-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-FEB-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAR-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-APR-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAY-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUN-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUL-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-AUG-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-NOV-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-DEC-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JAN-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-FEB-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAR-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-APR-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAY-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUN-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUL-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-AUG-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-NOV-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-DEC-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JAN-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-FEB-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAR-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-APR-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAY-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUN-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUL-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-AUG-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-NOV-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-DEC-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JAN-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-FEB-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAR-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-APR-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-MAY-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUN-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-JUL-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-AUG-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-SEP-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,,,,,26-OCT-2022,INE148I07GJ7
